vp ses resp RT key stim inf1 inf2
vp01 ses01 d 0.7001 r stim38 3 8
vp01 ses01 d 0.7823 r stim78 7 8
vp01 ses01 d 1.8186 r stim65 6 5
vp01 ses01 d 0.8898 r stim84 8 4
vp01 ses01 d 1.62 r stim67 6 7
vp01 ses01 s 2.0948 l stim64 6 4
vp01 ses01 s 2.1374 l stim34 3 4
vp01 ses01 d 0.8819 r stim33 3 3
vp01 ses01 s 1.0081 l stim33 3 3
vp01 ses01 s 0.8123 l stim32 3 2
vp01 ses01 s 1.1513 l stim10 1 0
vp01 ses01 s 1.2967 l stim01 0 1
vp01 ses01 d 0.8499 r stim35 3 5
vp01 ses01 d 0.8082 r stim33 3 3
vp01 ses01 d 0.7141 r stim52 5 2
vp01 ses01 d 0.7666 r stim66 6 6
vp01 ses01 d 1.0681 r stim33 3 3
vp01 ses01 s 1.3391 l stim42 4 2
vp01 ses01 s 0.996 l stim53 5 3
vp01 ses01 d 0.6678 r stim44 4 4
vp01 ses01 s 1.0972 l stim42 4 2
vp01 ses01 d 1.6741 r stim88 8 8
vp01 ses01 s 1.0874 l stim00 0 0
vp01 ses01 d 0.7924 r stim62 6 2
vp01 ses01 s 0.8647 l stim21 2 1
vp01 ses01 d 1.341 r stim26 2 6
vp01 ses01 d 0.8496 r stim66 6 6
vp01 ses01 s 1.2552 l stim12 1 2
vp01 ses01 d 1.0233 r stim87 8 7
vp01 ses01 d 0.7763 r stim37 3 7
vp01 ses01 s 1.4988 l stim58 5 8
vp01 ses01 d 1.0155 r stim15 1 5
vp01 ses01 s 0.9524 l stim43 4 3
vp01 ses01 s 1.0512 l stim33 3 3
vp01 ses01 d 0.7437 r stim05 0 5
vp01 ses01 d 0.7503 r stim44 4 4
vp01 ses01 s 0.9187 l stim22 2 2
vp01 ses01 d 0.764 r stim37 3 7
vp01 ses01 s 1.1178 l stim23 2 3
vp01 ses01 d 1.2255 r stim78 7 8
vp01 ses01 s 0.7793 l stim73 7 3
vp01 ses01 d 0.7649 r stim24 2 4
vp01 ses01 s 0.8668 l stim44 4 4
vp01 ses01 s 1.178 l stim22 2 2
vp01 ses01 d 0.7715 r stim20 2 0
vp01 ses01 s 0.843 l stim46 4 6
vp01 ses01 d 1.6187 r stim64 6 4
vp01 ses01 d 0.9124 r stim66 6 6
vp01 ses01 d 0.7062 r stim61 6 1
vp01 ses01 d 0.8497 r stim20 2 0
vp01 ses01 d 0.7788 r stim57 5 7
vp01 ses01 s 1.3167 l stim25 2 5
vp01 ses01 s 0.8034 l stim22 2 2
vp01 ses01 s 0.9106 l stim23 2 3
vp01 ses01 s 0.7897 l stim22 2 2
vp01 ses01 d 1.0764 r stim22 2 2
vp01 ses01 s 1.7003 l stim35 3 5
vp01 ses01 s 1.1664 l stim46 4 6
vp01 ses01 d 0.8785 r stim13 1 3
vp01 ses01 d 1.4036 r stim34 3 4
vp01 ses01 d 1.0159 r stim20 2 0
vp01 ses01 d 0.9528 r stim02 0 2
vp01 ses01 s 1.5012 l stim11 1 1
vp01 ses01 s 0.8173 l stim00 0 0
vp01 ses01 d 0.7221 r stim74 7 4
vp01 ses01 d 1.9224 r stim66 6 6
vp01 ses01 d 0.6667 r stim31 3 1
vp01 ses01 d 0.7653 r stim66 6 6
vp01 ses01 s 1.0505 l stim34 3 4
vp01 ses01 s 1.3377 l stim13 1 3
vp01 ses01 d 1.38 r stim67 6 7
vp01 ses01 s 1.1068 l stim25 2 5
vp01 ses01 d 1.1324 r stim32 3 2
vp01 ses01 s 1.2915 l stim11 1 1
vp01 ses01 d 1.0951 r stim82 8 2
vp01 ses01 d 0.9387 r stim61 6 1
vp01 ses01 d 1.0196 r stim77 7 7
