resp RT id s1 s2 phi1 phi2
d 0.3078 vp01 8.7 7.9 1.91472432718 5.40970786102
s 0.4049 vp01 8.3 8.3 2.66192886219 3.16684701085
d 0.4925 vp01 8.7 6.3 5.76243621792 1.41052537018
s 0.7001 vp01 6.7 6.7 3.09770241151 0.579995638312
s 0.5168 vp01 6.7 5.9 0.00121307605238 0.886515839761
d 0.5959 vp01 6.7 6.3 2.53260024783 0.919017274097
d 0.867 vp01 5.9 5.9 1.01404857521 4.3964417768
d 0.5806 vp01 7.5 7.5 2.46839404976 5.76595790311
d 0.5965 vp01 7.9 8.7 4.69407013688 5.3734903444
s 0.8765 vp01 8.3 7.9 2.5343676962 0.817287440583
s 0.4114 vp01 7.1 7.1 3.78262466821 3.89893536365
s 0.6408 vp01 6.7 7.1 5.73058546051 5.38993651467
d 0.7228 vp01 6.3 5.9 5.25875092716 1.88070864797
d 0.4601 vp01 5.9 5.9 1.22378902941 5.23223012431
s 1.0429 vp01 6.7 6.7 1.77720522289 0.169207907822
s 0.7079 vp01 9.1 8.7 5.10723292886 4.15373892573
d 0.4437 vp01 5.9 5.9 1.03226542616 3.54339397265
d 0.556 vp01 7.5 6.7 1.48893000733 0.349574553606
d 0.6602 vp01 8.7 7.9 0.224449072406 5.31063972505
s 0.6519 vp01 8.7 7.9 2.04757629333 1.49995777433
d 0.4824 vp01 6.3 6.3 3.01759625369 6.03566907958
s 0.8027 vp01 5.9 5.9 2.8237612425 2.115427224
s 0.5157 vp01 7.5 7.9 4.13263400752 4.19394326676
s 0.5871 vp01 6.7 6.7 4.54965347498 4.29851975708
d 0.6919 vp01 6.7 6.7 2.91006382599 0.275793484466
s 0.6273 vp01 8.7 8.7 3.76461520657 4.15815385878
s 0.5541 vp01 8.7 7.5 3.8726054011 0.851341966833
d 0.5081 vp01 5.9 5.9 4.59269088485 5.2997313942
s 0.7801 vp01 6.3 6.3 3.37656570155 2.82157850356
s 0.4826 vp01 9.1 8.7 6.12547948523 4.124703598
d 0.468 vp01 9.1 9.1 5.91240430579 6.24969864867
s 0.5002 vp01 5.9 5.9 2.67617746256 2.8298281605
d 0.7398 vp01 9.1 7.9 5.41081263493 0.671797529505
s 0.5714 vp01 6.7 7.1 4.53464322325 5.74570957733
d 0.4679 vp01 7.1 7.9 4.96586052236 3.27437227375
d 0.557 vp01 7.9 7.5 3.74558612167 6.19241045799
d 0.5483 vp01 9.1 6.7 5.75988439868 1.41233446408
s 0.8341 vp01 8.3 8.7 4.87408108731 4.78392912732
d 0.356 vp01 7.1 5.9 0.00362250041869 4.84609142651
s 0.6592 vp01 7.9 6.3 3.75958390038 1.69295107854
s 0.684 vp01 7.1 7.1 0.977578940883 4.60832238319
d 0.4154 vp01 6.7 7.5 1.04498324173 0.548344013082
s 1.1154 vp01 8.3 8.3 2.19929208655 1.26319519707
d 0.6598 vp01 6.3 6.3 4.2160153102 1.73133640016
d 0.5384 vp01 6.3 6.3 5.82786898888 1.12125858695
s 0.5464 vp01 7.9 8.3 5.06872443711 2.39370555418
s 0.6981 vp01 9.1 8.7 0.204842931241 1.71608193065
s 0.6198 vp01 5.9 6.3 5.57530545473 5.29710447814
d 0.4355 vp01 6.3 8.3 4.14196407226 4.69042349116
s 0.5876 vp01 6.7 6.7 1.75929792439 1.35427661652
d 0.5875 vp01 7.9 7.5 1.46677509761 2.48585170607
s 0.5885 vp01 8.3 8.3 0.218675597562 4.90104529535
d 0.4192 vp01 5.9 6.3 4.96469759544 1.54207339071
s 0.6833 vp01 7.9 7.5 5.71762865555 2.72042313482
d 0.3946 vp01 6.3 7.9 1.38806484701 5.8406436828
s 0.676 vp01 8.3 8.7 6.07421613149 3.49189414471
d 0.3841 vp01 7.5 6.3 2.57096271479 0.296899245628
s 0.484 vp01 8.7 8.7 5.61493107733 0.930724834326
s 0.4593 vp01 7.1 6.7 2.03821776554 0.117366777242
d 0.4353 vp01 6.7 8.3 1.23012308872 3.75714644321
s 0.4915 vp01 7.9 7.9 5.49355387855 5.43708594837
d 0.5072 vp01 8.3 8.3 0.41905439299 2.91490955186
s 0.3561 vp01 8.3 8.3 3.55849358109 4.11328600797
d 0.5074 vp01 5.9 5.9 5.85023419517 5.99533676038
d 0.6995 vp01 7.9 8.3 1.29776725727 2.89851419999
d 0.5943 vp01 5.9 7.1 0.373088247627 4.27491821967
d 0.315 vp01 6.7 9.1 5.84829652667 2.21311314245
s 0.8436 vp01 7.1 7.1 4.13990278658 3.38314742574
d 1.2027 vp01 9.1 9.1 4.30652348787 3.02320995582
d 0.7634 vp01 7.9 6.7 2.23997138822 4.44875652791
s 0.6515 vp01 8.7 8.7 5.0139987725 1.24561081922
d 0.6399 vp01 9.1 8.3 0.918591496098 4.39000430954
s 0.8119 vp01 9.1 8.7 0.656573759006 4.32436591327
d 0.4433 vp01 8.7 7.1 1.27141157054 4.80892185373
d 0.6757 vp01 5.9 5.9 2.59153889698 5.71973970294
d 0.8916 vp01 6.3 7.5 2.94938763508 1.86694464096
s 0.8991 vp01 7.9 7.9 6.14436493324 1.57233978895
s 0.5865 vp01 8.7 8.7 5.00706980416 4.97491238643
s 0.4744 vp01 7.1 7.5 0.671856852108 2.84848919033
s 0.4436 vp01 8.3 7.9 6.25290010964 1.27304178821
d 0.3631 vp01 5.9 7.9 0.500974635997 2.25459322093
d 0.5076 vp01 7.5 6.7 2.19846502967 3.48639457827
s 0.7236 vp01 6.7 6.7 0.00807460307777 3.14300456953
s 2.2997 vp01 6.7 7.1 2.48611820259 3.16732155955
s 0.6517 vp01 7.1 6.3 5.27567051729 0.985283409377
d 0.4521 vp01 7.5 7.1 3.52160960961 1.06955107827
d 0.3459 vp01 7.1 8.7 5.0000490714 2.0072369695
s 0.4424 vp01 6.7 7.1 4.44588429975 4.13443576863
s 0.5867 vp01 7.5 7.5 0.339203891316 6.24451344991
s 0.4908 vp01 7.1 7.1 4.05446911789 4.60712347143
d 0.7063 vp01 6.3 6.7 1.04636742491 2.8184851721
d 0.603 vp01 8.7 9.1 2.88634849552 0.226346581908
s 0.7383 vp01 5.9 5.9 2.07522067602 1.69147647848
s 0.6029 vp01 7.9 7.9 2.07969855092 2.46137565092
s 0.5064 vp01 6.3 6.3 3.54215676305 3.6414159676
s 0.6502 vp01 6.3 6.3 6.21855720072 0.984008138052
d 0.6266 vp01 8.3 6.7 3.3350129848 3.51746173102
s 0.5945 vp01 9.1 8.3 4.43520929325 4.89494308873
s 0.4507 vp01 5.9 5.9 3.6550707064 3.61126628534
d 0.3702 vp01 5.9 7.1 4.28080400937 5.8086867231
s 0.6111 vp01 6.3 7.5 4.34806073604 3.69702332169
s 0.7723 vp01 7.5 7.5 3.49932264942 5.83756808148
s 0.6521 vp01 6.3 5.9 0.219339219403 0.183903032152
d 0.4833 vp01 5.9 8.3 0.32635697158 5.8197230735
d 0.4039 vp01 7.1 8.3 3.80661073461 3.46433466048
d 0.6756 vp01 6.3 6.3 1.1507593921 1.76577430827
s 0.4355 vp01 7.5 7.1 4.39258863314 3.67115241235
d 0.7956 vp01 8.7 7.9 3.66297312685 2.68607634587
d 0.5395 vp01 7.9 5.9 4.67567297465 0.246332733531
s 0.6434 vp01 7.1 6.7 5.11516611295 2.64514547724
s 0.5635 vp01 6.3 7.1 1.68635269419 5.95164792449
d 0.38 vp01 7.1 8.3 0.679065662817 5.33551619799
d 0.3798 vp01 6.7 9.1 5.57468579074 5.86923944593
d 0.6108 vp01 6.3 6.7 5.82010241414 1.9348756255
d 0.4912 vp01 6.7 8.3 1.46828322003 5.87345451012
d 0.7639 vp01 7.1 9.1 2.0078953512 3.49741953951
s 0.5869 vp01 7.5 6.3 2.78227421772 1.04094725189
d 0.9548 vp01 7.1 6.7 5.98663021026 3.32813118325
d 0.7144 vp01 7.1 8.3 5.07992291215 5.8372954641
d 1.4505 vp01 9.1 7.9 2.79013048255 3.25241066194
s 8.451 vp01 7.9 7.5 3.62354740882 4.28734296902
d 0.6024 vp01 6.3 6.3 5.40922429386 1.04146165792
d 0.492 vp01 7.5 9.1 4.28833877102 4.22527094142
s 0.5156 vp01 6.7 7.9 6.21337251551 0.96939490414
d 0.5079 vp01 7.1 5.9 1.59507248425 0.761778878775
s 0.4518 vp01 6.3 7.5 3.61323309146 1.99352549847
s 0.7073 vp01 7.9 8.3 2.83207414643 5.19462261723
d 0.4101 vp01 7.5 7.9 5.97609247615 0.820944680964
s 0.604 vp01 7.9 7.5 1.66004189163 2.3515958346
s 0.6352 vp01 7.1 6.7 2.5777550957 2.81628690413
d 0.5152 vp01 7.5 7.5 3.80397469949 1.87434720884
s 0.5074 vp01 5.9 7.1 1.20379500919 3.83010450416
d 0.7065 vp01 6.3 5.9 1.4209991717 3.55611168073
s 0.4752 vp01 8.3 8.3 2.20694268725 2.37240356829
s 0.6024 vp01 8.3 7.5 4.43287745278 3.69568111362
s 0.5476 vp01 8.7 9.1 3.51134386859 4.3994153812
d 0.6027 vp01 6.7 6.3 2.26370274101 0.220218904406
s 0.747 vp01 6.7 7.1 3.78450319714 5.58536558785
s 0.6598 vp01 7.9 7.5 5.37244885043 4.55694614402
d 0.4835 vp01 6.3 7.1 2.23582810719 6.02762518307
d 0.5557 vp01 7.9 8.3 2.99430920885 6.0844741955
d 0.8439 vp01 7.5 6.3 3.82304722588 2.33445748763
d 0.6919 vp01 7.5 7.9 0.0340181810199 5.88617223999
s 0.4904 vp01 5.9 6.3 4.91166919183 2.63176298368
s 0.555 vp01 7.9 7.5 1.14080398928 1.9008236788
d 0.652 vp01 7.5 6.3 3.27449816082 6.02079502128
s 0.4826 vp01 6.7 6.7 4.53811295906 4.0327981155
d 0.5709 vp01 6.3 6.7 4.79458781456 2.16780544307
s 0.5064 vp01 9.1 7.5 5.31237642351 1.38415981031
s 0.842 vp01 5.9 5.9 3.44323918513 3.08332182616
d 0.8007 vp01 5.9 5.9 5.0413710251 2.84161808134
s 0.8824 vp01 6.3 5.9 2.49757062427 1.73859612189
s 0.9555 vp01 9.1 9.1 4.48233355498 0.0625794549018
d 0.4742 vp01 7.5 5.9 1.57522191178 0.542718889233
d 0.6664 vp01 7.9 8.3 6.14562779304 1.37405489693
d 0.5863 vp01 8.3 6.7 5.52158887742 0.0710041220655
d 0.9072 vp01 5.9 5.9 3.11380625813 5.95559361424
s 0.8749 vp01 8.7 8.3 2.83680217874 1.02357944542
d 1.3877 vp01 7.5 7.5 2.87412015407 1.77632172931
d 0.7867 vp01 7.5 8.3 4.15299371101 3.69434187117
d 0.7714 vp01 8.3 9.1 4.06437378583 4.52441753127
d 0.7758 vp01 7.9 7.1 2.37567978546 1.56961717398
d 0.5385 vp01 8.3 6.7 4.3236218865 5.79931089094
s 0.5881 vp01 8.3 8.7 1.00518444891 0.716327755525
s 0.612 vp01 8.3 8.3 3.38252628481 4.50368574057
d 0.8914 vp01 9.1 8.7 0.370628598736 2.98784029425
s 1.3556 vp01 9.1 8.7 4.15307317283 6.18639503004
d 1.5707 vp01 7.1 6.7 5.44113518491 1.94577020494
d 0.6984 vp01 5.9 7.5 3.59322940646 3.78809587409
s 0.6342 vp01 8.7 8.7 2.36910668872 2.03528468171
d 0.6021 vp01 6.7 7.9 4.36086329842 5.85206298277
s 0.6434 vp01 7.5 7.5 5.53397128532 0.055582630869
s 1.8196 vp01 8.3 8.3 1.07016901996 0.880231957818
d 0.9308 vp01 6.3 7.1 3.49714275236 0.581213229176
s 0.8354 vp01 7.1 6.3 0.460155101168 5.12028276325
d 0.5874 vp01 8.7 7.5 4.62582594007 4.04433565261
s 0.5161 vp01 6.7 5.9 0.0333223894906 0.850067010671
s 0.6423 vp01 8.7 8.7 3.66252437527 0.411407239455
s 0.7865 vp01 9.1 9.1 1.05917891114 0.118509391871
d 0.6583 vp01 7.1 6.7 2.63924863285 1.0049119779
d 0.6989 vp01 6.3 7.1 1.64541352389 2.12907217447
d 0.7225 vp01 7.1 7.5 1.52063789101 1.261384368
d 0.8988 vp01 8.3 7.5 0.184258918741 4.2044375666
s 0.5231 vp01 6.7 6.7 1.47069668752 0.540680575276
s 0.4514 vp01 7.1 7.1 2.83835138074 2.47039420389
d 0.722 vp01 7.5 6.3 2.05737209938 4.75217548731
s 0.6433 vp01 8.7 9.1 3.45064088885 2.18647866558
s 0.5474 vp01 6.3 6.3 0.699549928122 1.37031355558
d 0.7705 vp01 6.3 6.7 2.30906839194 5.6878942649
d 0.9716 vp01 5.9 7.1 4.22640122593 4.92582982273
s 0.468 vp01 7.9 7.9 1.79355541717 1.20027311704
s 0.503 vp01 6.7 6.3 3.10196982076 5.249595189
s 1.0909 vp01 7.1 6.3 3.86108726751 3.0887382041
d 0.835 vp01 7.5 6.7 2.94318681398 3.91137904123
d 1.1149 vp01 6.3 7.1 1.31778412196 1.50185338412
s 0.4832 vp01 6.3 6.7 4.63085604775 4.031978036
d 0.8118 vp01 5.9 7.1 2.10337950993 2.06414705072
s 0.5881 vp01 7.5 7.5 5.75212517304 4.42902726134
d 0.948 vp01 8.7 7.9 3.18754485817 5.80894587337
s 0.4755 vp01 6.3 6.3 6.03786661137 5.92926033996
d 0.4118 vp01 7.5 7.5 4.66262029892 1.69487107029
s 1.5155 vp01 7.9 8.3 0.975081830238 1.68542347374
d 1.2036 vp01 6.3 7.5 2.85772806546 5.20086525796
d 0.5072 vp01 8.7 9.1 4.08461800333 0.948760479686
s 0.4513 vp01 6.7 7.1 4.91128698891 5.90835904144
d 0.5479 vp01 9.1 8.3 1.67056393883 3.7329042236
d 0.5208 vp01 5.9 5.9 0.93098978694 1.96123476187
s 0.4743 vp01 6.3 6.3 4.90517848191 5.09845640528
s 0.5545 vp01 8.3 9.1 1.17323618158 1.02789764692
s 0.6415 vp01 7.9 7.5 0.475819573389 1.92202808483
s 1.1388 vp01 6.7 5.9 5.83193378902 0.342416767533
s 0.6417 vp01 8.7 8.7 3.65673727961 0.039747057133
d 0.6833 vp01 5.9 7.1 3.21467533029 5.41774839199
d 1.5474 vp01 5.9 6.7 3.03481998365 4.15968335524
d 1.5155 vp01 5.9 8.3 2.45254767879 0.876679034464
s 0.8997 vp01 6.3 6.3 5.27307399922 0.639890526835
s 1.5391 vp01 9.1 7.9 1.77620833774 1.34875763189
s 0.7388 vp01 7.5 7.5 2.95409843001 4.79382071478
s 1.1313 vp01 8.7 8.7 0.119940886717 3.63520895664
s 0.4034 vp01 8.7 8.3 6.03775032648 1.22793492972
s 0.4839 vp01 8.3 8.3 3.10218942866 2.1926102466
d 0.4235 vp01 6.7 5.9 5.47179525284 3.77517292542
d 0.5384 vp01 6.7 7.9 2.82200995215 1.05135923071
s 0.474 vp01 9.1 9.1 6.24825521644 5.82524595598
d 0.4825 vp01 7.9 8.7 5.75824548608 5.93423244977
s 0.764 vp01 7.1 8.3 1.60333244011 4.14424303749
d 0.332 vp01 7.9 7.1 2.80500423231 2.05062025257
d 0.5299 vp01 8.3 6.3 0.319957288846 5.73290147305
s 0.7703 vp01 5.9 6.7 4.93534395587 1.06721581089
d 0.4027 vp01 7.1 7.9 2.21957663482 3.48792050219
s 0.522 vp01 9.1 8.7 5.55889352285 4.90820309158
d 0.6064 vp01 6.7 5.9 2.08428214195 0.135303764341
s 0.4116 vp01 5.9 6.3 0.510314719623 4.68841077032
s 0.5144 vp01 6.3 5.9 5.44059559398 0.71248613687
s 0.5546 vp01 8.3 9.1 0.662232557309 2.99511895781
d 0.4428 vp01 8.3 7.1 2.22095967119 5.23876120113
d 0.4604 vp01 6.3 5.9 1.0145739458 1.76608834295
d 0.6423 vp01 7.9 8.3 5.3095441681 0.0844449586079
d 0.6586 vp01 6.3 6.7 3.9594577345 5.57724613963
d 0.5872 vp01 8.3 6.7 2.32507974745 3.68484103794
s 0.4191 vp01 5.9 6.7 2.04785598367 3.32246770064
d 0.883 vp01 5.9 7.5 3.59089645201 0.298922947423
d 0.7159 vp01 7.5 6.3 4.95005130235 2.80768813503
s 0.508 vp01 8.3 8.7 2.40572193524 5.68144593699
d 0.2991 vp01 6.7 9.1 1.6487937702 0.744713237865
d 0.54 vp01 8.7 7.1 1.03876309393 2.8971733532
s 0.5308 vp01 8.3 8.7 5.25652590786 4.14213580973
s 0.6825 vp01 8.7 8.3 3.17810898238 5.25938567776
d 0.3876 vp01 7.1 6.3 0.49993610928 4.05696861613
s 0.4757 vp01 7.5 7.5 5.50704639428 2.79356730976
d 0.4749 vp01 8.7 9.1 4.89449085376 0.750837827729
s 0.4291 vp01 8.7 9.1 5.90265546535 6.20071281047
s 0.5472 vp01 9.1 8.7 1.03441299043 2.29759336946
d 0.4602 vp01 6.7 9.1 2.3595304385 0.629698735546
d 0.6751 vp01 6.7 5.9 5.05920582332 5.35741002451
s 0.4981 vp01 8.3 8.3 1.44249845928 0.562838077411
d 0.475 vp01 6.7 5.9 5.34095652483 4.66117071405
d 0.4032 vp01 6.7 7.1 5.08672754438 0.907090268992
d 0.9717 vp01 6.3 6.7 4.23939386386 4.64197204202
d 0.4118 vp01 6.3 7.9 4.47102229663 1.70152046852
d 0.5794 vp01 7.9 7.9 3.8611535976 5.91320695596
s 0.546 vp01 7.5 7.5 1.61453990656 4.08902822599
d 0.5321 vp01 7.5 7.9 4.39662854353 0.424430582273
s 0.5946 vp01 6.7 6.7 2.98394165957 0.285663130488
d 0.6507 vp01 9.1 8.7 5.16022944876 1.96727243498
s 0.4672 vp01 8.7 9.1 0.902170870473 0.240830911632
d 0.9201 vp01 7.1 6.7 3.99008416655 2.90482985118
d 1.0511 vp01 7.1 7.1 6.05620667787 1.22207963457
d 0.852 vp01 8.3 8.7 3.38819027314 3.53945823072
s 1.3313 vp01 8.7 7.9 1.36171200244 0.442311098363
s 0.4988 vp01 9.1 9.1 0.0681968821284 6.14045986621
d 0.4679 vp01 5.9 5.9 6.25991904627 5.01200644628
s 0.4829 vp01 7.5 7.1 4.88876628447 5.20164606038
s 0.5153 vp01 6.3 6.3 2.28749833008 2.78425318545
d 0.8115 vp01 7.1 6.3 0.691760939135 5.73656312132
s 0.4907 vp01 7.1 7.1 2.69458108083 3.67353418587
s 0.6604 vp01 8.7 9.1 1.10869257715 4.73705179858
s 0.6041 vp01 5.9 5.9 0.245086456623 5.99402241733
s 1.0111 vp01 7.5 7.5 0.544853470534 0.11420997555
d 0.4834 vp01 5.9 7.1 5.1626465562 2.16782074563
s 0.4358 vp01 6.7 6.7 5.24995189147 0.153493143677
d 0.4029 vp01 7.5 5.9 3.74329135884 4.60550621613
s 0.5065 vp01 6.3 6.3 4.88518649619 5.1223589772
d 0.5553 vp01 5.9 6.3 3.2037444769 4.7789294436
s 0.5317 vp01 7.9 7.9 4.76983641361 3.06914632573
s 0.5311 vp01 6.3 6.3 0.218193780334 0.513071286881
d 0.6916 vp01 7.1 7.1 6.02011693991 1.67004392012
s 0.5869 vp01 7.9 7.9 1.52518764098 5.49436500656
d 0.3389 vp01 7.5 9.1 3.88534971759 2.01700562776
s 0.7 vp01 5.9 5.9 4.92969997974 0.602178665273
s 0.4676 vp01 5.9 5.9 2.10893247306 4.94740305912
d 0.3716 vp01 7.5 7.9 3.85862849944 0.0658376066888
s 0.5473 vp01 6.7 6.7 1.02127764384 1.30128430756
d 0.5713 vp01 8.3 8.7 3.538524647 3.84754918596
s 0.6677 vp01 7.5 7.9 5.83823766472 5.13714800072
s 0.5235 vp01 8.3 8.3 4.10689369616 3.65957644039
s 0.5182 vp01 6.7 6.7 5.84307479875 4.93119782229
s 0.5633 vp01 7.1 7.1 1.18703458814 3.72881884507
s 0.5394 vp01 6.3 6.3 0.761920681154 0.235573934749
d 0.9633 vp01 6.7 7.1 2.4262828303 2.62564552641
d 0.3951 vp01 8.7 6.7 2.93290894592 2.71960897028
s 0.3957 vp01 8.7 8.7 2.29304369145 2.69038724608
d 0.6609 vp01 5.9 6.7 3.71385839295 4.93738980857
s 0.5384 vp01 8.7 8.7 0.720519638927 5.92198731782
d 0.8104 vp01 7.9 7.9 0.193940891943 4.09301528591
s 0.4188 vp01 9.1 9.1 2.46801810685 2.71132177132
d 0.6826 vp01 6.7 7.1 3.8825886161 1.53156316421
s 0.4435 vp01 6.3 6.3 0.555879165025 6.13578438025
s 0.7222 vp01 8.3 7.1 3.25543136311 1.58556513537
d 0.6513 vp01 7.9 6.3 5.25680365086 2.57199371561
s 0.4519 vp01 8.7 8.7 4.32914305153 2.04663416987
d 0.3772 vp01 7.1 8.3 2.61499626568 1.74120691438
s 0.4831 vp01 8.3 8.3 5.12568840457 5.10274260313
d 0.4213 vp01 6.3 8.3 3.58620155477 5.15076182996
s 0.6105 vp01 7.9 8.3 4.56640748576 2.90599709876
d 0.3153 vp01 8.3 7.9 2.7045976922 1.04819936424
s 0.4592 vp01 8.7 9.1 4.53586515098 3.01290916291
d 0.5161 vp01 8.7 7.9 0.297691569207 4.49329204814
d 0.4829 vp01 8.3 6.3 4.96940300255 3.62437878726
d 0.3555 vp01 7.1 8.3 4.01185067162 1.42745455848
s 1.227 vp01 6.3 6.7 1.43336967066 2.68434611493
d 0.3551 vp01 8.3 7.5 3.00980165529 1.22292809053
s 0.5635 vp01 6.3 6.3 1.47049167006 3.40338603497
d 0.531 vp01 7.9 7.1 4.68303598212 4.47626394953
s 0.6995 vp01 7.9 8.7 0.875053678057 5.67286428569
d 0.4901 vp01 6.7 7.9 3.05638835662 2.58402363929
d 0.4139 vp01 7.9 6.3 2.18654080973 0.186236224175
s 0.6267 vp01 6.7 6.7 1.72720564732 2.48797074296
s 1.0185 vp01 6.7 7.5 5.90496401084 0.0872737881048
s 0.6587 vp01 5.9 6.3 1.43183152373 2.5502473923
s 0.8985 vp01 5.9 5.9 5.06664305929 0.507210297087
d 0.6427 vp01 7.1 7.1 5.29959545236 2.47207708159
d 0.707 vp01 6.3 6.3 0.619382637475 2.73404438129
s 0.7136 vp01 6.3 6.7 0.104351300747 0.382174021292
d 0.6039 vp01 6.3 6.7 0.839859272756 2.30736225036
d 0.9471 vp01 9.1 8.7 4.12685258698 5.88610349196
d 0.8356 vp01 7.5 7.5 2.41814734496 5.76134288978
s 0.8994 vp01 7.5 7.1 4.31054312353 2.31843863517
d 0.5229 vp01 7.5 5.9 2.91334513335 1.50008388716
s 0.4984 vp01 8.7 8.3 1.63279389669 1.28262169325
s 0.563 vp01 8.3 8.3 6.13978957165 4.85988488749
s 1.0876 vp01 7.9 6.7 3.06539489746 5.73497655495
s 0.6115 vp01 6.7 6.7 0.638528464867 4.43339748185
s 0.42 vp01 8.3 8.7 2.84900189172 2.92672493987
s 0.6768 vp01 6.7 6.3 1.48618947973 0.558297105302
d 0.4275 vp01 7.5 6.3 1.3430641874 1.91315784901
s 0.5001 vp01 7.1 7.1 5.32389780488 5.94118737254
d 0.3467 vp01 8.3 5.9 5.79133078778 4.49100120498
s 0.8281 vp01 6.7 6.7 5.7396852287 4.07474970147
s 0.7226 vp01 8.7 8.7 1.75388339473 2.77426348888
d 0.3558 vp01 7.5 6.7 1.88740263928 5.80673008347
s 0.5871 vp01 8.7 8.3 4.18193990749 4.95771302917
d 0.4842 vp01 5.9 7.9 3.41672040287 5.3727377812
d 0.3954 vp01 7.5 7.9 3.48767404574 6.27918383372
d 0.532 vp01 7.1 6.7 1.91901929018 4.35903176254
s 0.9863 vp01 7.9 6.7 5.05746457115 1.17727358939
s 0.5056 vp01 8.3 8.3 1.19191776635 0.92441456815
s 0.6755 vp01 8.3 7.9 3.95567322421 2.55766852999
s 0.7887 vp01 7.5 7.1 6.22434748519 4.49743754041
d 0.6834 vp01 7.9 9.1 1.08226515789 2.93267788349
d 0.7875 vp01 8.7 7.1 4.25135310094 3.65901890651
s 0.5473 vp01 7.9 6.7 3.35752623972 0.19069360141
s 0.5392 vp01 8.7 8.7 0.843097569116 3.85261350791
s 0.6276 vp01 8.3 8.3 3.79345256757 2.90580354387
s 0.5079 vp01 9.1 8.7 2.4661187069 3.61753042021
s 0.6039 vp01 9.1 8.3 4.51103160098 4.87932877717
d 0.5633 vp01 7.9 9.1 6.0036645322 3.9409811171
s 1.0131 vp01 7.1 7.5 4.81279274142 3.17710798564
s 1.1022 vp01 9.1 8.3 0.354008958385 1.94619534581
d 0.5847 vp01 5.9 6.7 3.44291972944 4.9396605585
d 0.8798 vp01 5.9 6.7 4.79062306586 1.45966154311
d 1.3238 vp01 7.5 7.1 4.9090148764 2.05236192645
s 0.6275 vp01 7.1 5.9 2.29189297995 6.21589909496
d 0.7063 vp01 7.1 7.1 0.0248178488692 1.61597857586
s 0.5793 vp01 7.9 7.9 2.85563016292 2.90996490813
d 0.5788 vp01 6.3 7.9 4.20431782248 2.85569047298
s 0.7454 vp01 5.9 5.9 3.81740280889 2.50510417136
d 0.6878 vp01 7.9 6.7 3.31979779063 2.97658919609
d 0.5609 vp01 7.1 7.9 1.5568384366 5.58054569715
s 0.6875 vp01 7.1 6.7 4.99157546638 4.56951996336
d 0.5269 vp01 5.9 5.9 5.32329960237 0.980481273366
s 0.915 vp01 8.3 8.3 0.400137692786 1.99930502363
s 0.743 vp01 7.9 8.7 0.235732451589 5.36913349418
s 0.5532 vp01 9.1 9.1 3.38982789147 2.53244374776
d 1.2025 vp01 6.7 5.9 1.59078536412 6.06568594305
d 0.7862 vp01 7.9 7.1 5.29516078407 4.59976670677
d 0.5062 vp01 8.3 7.9 1.62917554204 3.16665863627
s 0.879 vp01 6.7 6.7 4.82019853447 3.47663134978
s 0.7219 vp01 8.3 8.3 4.41247811374 5.53599181396
s 0.7688 vp01 7.5 7.1 3.4405858785 3.67638332173
s 0.8925 vp01 8.7 8.7 2.29679013919 5.65376807268
d 1.1989 vp01 8.3 7.1 3.69676607533 0.823677345002
d 1.0177 vp01 7.5 7.5 2.50890649589 5.3366296591
s 0.8187 vp01 6.3 5.9 6.23358157304 6.23875954135
d 0.4505 vp01 9.1 7.1 3.5351163841 4.34881669006
d 1.0479 vp01 7.5 6.3 5.25345042754 1.12964878571
d 0.5604 vp01 8.7 7.9 0.56442032168 4.45989613404
d 0.9154 vp01 8.3 7.5 6.16049479218 3.88972161833
d 0.9941 vp01 7.1 7.1 4.42658621429 5.93021588615
d 0.6037 vp01 8.3 9.1 4.39074136718 4.15808891065
s 0.8583 vp01 8.3 8.3 5.48203836683 5.20647426167
d 0.4826 vp01 8.3 9.1 6.13799336291 5.46200521822
s 0.6661 vp01 8.3 7.5 3.13474552902 3.4951620751
s 0.9148 vp01 7.1 7.1 1.35042576802 0.795152353619
s 0.7868 vp01 7.1 7.1 1.04417327711 1.10189813343
d 0.3075 vp01 6.7 8.7 2.84724220049 2.77836170734
d 1.0117 vp01 5.9 6.7 3.02006332544 3.55507696744
s 0.6826 vp01 7.9 8.3 0.942662095236 1.97351951974
d 0.419 vp01 7.5 7.9 3.8594644109 5.79231532397
s 0.6428 vp01 8.7 8.3 2.49130672366 3.19870900904
s 0.7942 vp01 7.9 8.3 3.08219600817 4.07107368453
d 0.6819 vp01 6.7 7.5 4.53796458003 1.77521397288
d 1.4449 vp01 7.9 7.1 0.800973377262 0.758525273264
s 1.3313 vp01 8.7 8.7 4.34662782736 0.335732883227
d 0.5792 vp01 7.1 7.9 1.65981810797 1.31334120905
s 0.6278 vp01 7.5 6.7 2.1063069375 4.12642469848
d 0.4356 vp01 6.7 8.3 4.85594074432 4.4427359299
d 0.563 vp01 7.9 6.7 4.19374920578 4.77889165678
d 0.4835 vp01 7.5 9.1 3.31884815626 4.61642791573
d 0.6488 vp01 5.9 7.5 2.01560274331 3.89176885473
d 0.8832 vp01 7.9 7.9 4.32760291787 1.05634150405
s 0.9074 vp01 6.3 5.9 4.70731955121 4.46501690534
d 0.5638 vp01 7.1 7.9 1.6974089206 3.83916231548
d 0.4511 vp01 8.3 9.1 4.3919567881 1.60083128907
